mix,B_ALL_1_o(all T),B_ALL_2_o(all C),B_ALL_5(all T),B_ALL_PREC_2_o(all T),B_PREC_ALL_2(all T),B_PREC_ALL_4(all T),B_PREC_ALL_5(all T),T_B_ALL_1(all C),T_B_ALL_1_o(C-2),T_B_ALL_2_o(all C),T_B_ALL_3_o(C-2),B_not_ALL
J362,19.04167707,27.7658046,9.976749102,13.33333333,7.851573003,9.234385494,16.2621054,16.63859885,8.139836555,9.314703925,22.58619278,2.870695701
J435,12.12121212,12.07349081,6.079501169,8.941176471,2.083333333,11.59969674,1.564537158,NA,8.292831106,1.19760479,13.24232082,0.794111549
J518,0.196078431,0.313479624,2.251002158,0,0,0,0,NA,1.587301587,0,0.209643606,0.732922897
K389,0.316813759,0,0.378502636,0.680893465,0,0.274768002,0.366121552,2.356191095,0.103145158,0,0,0.219178407
J710,5.77930828,54.55653764,0.887961372,12.98122813,1.775679928,5.373218969,33.95968143,57.75384615,36.05381166,56.82158921,55.81359582,0.431671059
J712,2.152466368,0.325027086,1.90182189,1.096696536,1.562680866,0.700204226,0.658468093,2.44648318,0.128302604,0.061538462,0.543342804,1.634631832
J714,0,5.084745763,0,0,0,0,1.222307105,4.146341463,0,11.69154229,3.708439898,2.420311643
J729,0.238070593,0,0.517348417,0,0.212964195,0,0,0.049590875,0.002610762,0,0,0.118670861
K493,0,0,0.491122025,0,1.489757914,1.397515528,0,NA,0,NA,0.068119891,0.445412593
I979,1.358930112,4.014209591,1.869557274,4.098005204,1.974706013,0.024221872,0.232666356,2.720114531,1.577184833,4.570383912,2.531408213,0.276116167
I722,5.330490405,18.0704441,3.215434084,4.745762712,5.483870968,0,0,2.280701754,5.396740582,12.3015873,8.312421581,0
J287,0,0,0.237091675,0.066006601,0,0,0,1.503759398,0,0,0,0
K127,87.54826255,68.78702035,78.35022523,89.34993084,91.02564103,87.62268829,26.93840813,1.859364435,80.45407989,53.4316506,48.32535885,0.169879316
K143,8.471760797,NA,8.774928775,7.211538462,13.64829396,3.737465816,0,0,4.173412484,12.13114754,16.73693086,1.955922865
K231,2.645502646,0,2.11704219,3.422459893,3.164556962,1.342882722,1.188455008,0.287356322,0.214389846,0,0,2.535148569
K421,0,0,0,0,0.940860215,0,0,0,0,0,0,0.201816347
L108,NA,NA,0.512163892,NA,NA,0.061652281,3.370786517,NA,0,NA,0,0.247463499
